,City,Typical Home Price (Single Family),Typical Home Price (Top Teir),Typical Home Price (Bottom Tier),Latitude,Longitude
0,Arvada,663225.8,794293.06,486501.75,39.8005505,-105.0811573
1,Aurora,530770.16,620786.29,360939.94,39.7405111,-104.8309947
2,Boulder,1418469.92,1641210.97,546725.46,40.0149856,-105.270545
3,Breckenridge,1397773.68,2142628.16,674120.89,39.4829124,-106.0465486
4,Broomfield,774477.19,899867.6,494302.13,39.9403995,-105.05208
5,Castle Rock,670136.92,933674.81,534250.77,39.3722552,-104.8586826
6,Colorado Springs,506916.92,617340.05,348048.61,38.8339578,-104.825348
7,Denver,724441.68,889998.44,390848.49,39.7392364,-104.984862
8,Englewood,534049.28,633196.47,421651.16,39.6482059,-104.9879641
9,Fort Collins,619802.66,737892.09,415641.79,40.5508527,-105.0668085
10,Frisco,1722745.05,1441888.97,627068.41,39.5744299,-106.0975196
11,Golden,694776.49,1146975.93,557278.05,39.7546349,-105.22058
12,Lakewood,653374.0,737691.88,404437.63,39.7085736,-105.0846694
13,Littleton,771758.24,992497.59,491869.96,39.613321,-105.016649
14,Longmont,574385.85,714330.15,438779.49,40.1672117,-105.1019287
15,Mesa,505738.88,710747.45,230685.97,39.1661104,-108.1395061
16,Parker,848518.77,884486.76,564928.61,39.5184514,-104.7612638
17,Pueblo,251260.46,399668.42,183584.84,38.2544472,-104.609141
18,Thornton,567031.96,644318.97,416745.05,39.8695516,-104.985181
