,City,Single Fam Avg Price,Average Home Price (Top Teir),Average Home Price (Bottom Tier)
0,Arvada,663225.8,794293.06,486501.75
1,Aurora,530770.16,620786.29,360939.94
2,Boulder,1418469.92,1641210.97,546725.46
3,Breckenridge,1397773.68,2142628.16,674120.89
4,Broomfield,774477.19,899867.6,494302.13
5,Castle Rock,670136.92,933674.81,534250.77
6,Colorado Springs,506916.92,617340.05,348048.61
7,Denver,724441.68,889998.44,390848.49
8,Englewood,534049.28,633196.47,421651.16
9,Fort Collins,619802.66,737892.09,415641.79
10,Frisco,1722745.05,1441888.97,627068.41
11,Golden,694776.49,1146975.93,557278.05
12,Lakewood,653374.0,737691.88,404437.63
13,Littleton,771758.24,992497.59,491869.96
14,Longmont,574385.85,714330.15,438779.49
15,Mesa,505738.88,710747.45,230685.97
16,Parker,848518.77,884486.76,564928.61
17,Pueblo,251260.46,399668.42,183584.84
18,Thornton,567031.96,644318.97,416745.05
